,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,3,Exp2,"('斜向下', 400)",垂直误差,0.1784829012715479
0,2,3,Exp2,"('斜向下', 800)",垂直误差,0.24911903997433946
0,2,3,Exp2,"('水平', 400)",垂直误差,0.1281468883758231
0,2,3,Exp2,"('水平', 800)",垂直误差,0.1853985372880565
0,2,3,Exp2,"('竖直', 400)",垂直误差,0.1419437671797462
0,2,3,Exp2,"('竖直', 800)",垂直误差,0.138087828017799
0,2,3,Exp3,gravity,xIfNoGravityPredictError,0.7404645021839584
0,2,3,Exp3,horizontalMove,xIfNoGravityPredictError,0.8915032711594727
0,2,3,Exp3,noGravity,xIfNoGravityPredictError,0.25995349475784724
0,2,3,Exp3,gravity,yIfNoGravityPredictError,0.1276778683289907
0,2,3,Exp3,horizontalMove,yIfNoGravityPredictError,0.19990461069179977
0,2,3,Exp3,noGravity,yIfNoGravityPredictError,0.6277775018152979
0,2,3,Exp3,gravity,xIfGravityPredictError,0.3640314840123437
0,2,3,Exp3,horizontalMove,xIfGravityPredictError,0.8915032711594727
0,2,3,Exp3,noGravity,xIfGravityPredictError,0.4123915308025486
0,2,3,Exp3,gravity,yIfGravityPredictError,0.5212899627582471
0,2,3,Exp3,horizontalMove,yIfGravityPredictError,0.19990461069179977
0,2,3,Exp3,noGravity,yIfGravityPredictError,0.03756580749276924
0,2,4,Exp1,horizontal,Nothing,0.8238029479980469
0,2,4,Exp1,vertical,Nothing,0.04138946533203125
0,2,4,Exp2,"(0, 400)",水平误差,0.4321545128079572
0,2,4,Exp2,"(0, 800)",水平误差,0.8263378267802219
0,2,4,Exp2,"(45, 400)",水平误差,0.05107563921899457
0,2,4,Exp2,"(45, 800)",水平误差,0.3043781326379742
0,2,4,Exp2,"(90, 400)",水平误差,0.1559582607547371
0,2,4,Exp2,"(90, 800)",水平误差,0.757762116818318
0,2,4,Exp2,"(135, 400)",水平误差,0.6574518615228149
0,2,4,Exp2,"(135, 800)",水平误差,0.6308587721583383
0,2,4,Exp2,"(180, 400)",水平误差,0.9701802760058986
0,2,4,Exp2,"(180, 800)",水平误差,0.0
0,2,4,Exp2,"(225, 400)",水平误差,0.548387377874586
0,2,4,Exp2,"(225, 800)",水平误差,0.5849857148716979
0,2,4,Exp2,"(270, 400)",水平误差,0.8913065885354801
0,2,4,Exp2,"(270, 800)",水平误差,0.5000000000000121
0,2,4,Exp2,"(315, 400)",水平误差,0.46288773171696007
0,2,4,Exp2,"(315, 800)",水平误差,0.5182349909130461
0,2,4,Exp2,"(0, 400)",垂直误差,0.49999999999999956
0,2,4,Exp2,"(0, 800)",垂直误差,0.8144528418445154
0,2,4,Exp2,"(45, 400)",垂直误差,0.5888391832226123
0,2,4,Exp2,"(45, 800)",垂直误差,0.3634182060181773
0,2,4,Exp2,"(90, 400)",垂直误差,0.7125179419301534
0,2,4,Exp2,"(90, 800)",垂直误差,0.8071775040415377
0,2,4,Exp2,"(135, 400)",垂直误差,0.4713896061942759
0,2,4,Exp2,"(135, 800)",垂直误差,0.38777749462122646
0,2,4,Exp2,"(180, 400)",垂直误差,0.590334470601736
0,2,4,Exp2,"(180, 800)",垂直误差,0.7577621168183039
0,2,4,Exp2,"(225, 400)",垂直误差,0.3783005106301354
0,2,4,Exp2,"(225, 800)",垂直误差,0.41299406875254874
0,2,4,Exp2,"(270, 400)",垂直误差,0.6948604247373715
0,2,4,Exp2,"(270, 800)",垂直误差,0.7892176910168227
0,2,4,Exp2,"(315, 400)",垂直误差,0.2958051306508775
0,2,4,Exp2,"(315, 800)",垂直误差,0.09329241418486756
0,2,4,Exp2,"('斜向上', 400)",水平误差,0.7349413267635285
0,2,4,Exp2,"('斜向上', 800)",水平误差,0.7611701039994274
0,2,4,Exp2,"('斜向下', 400)",水平误差,0.18733931755600955
0,2,4,Exp2,"('斜向下', 800)",水平误差,0.24536701262387323
0,2,4,Exp2,"('水平', 400)",水平误差,0.5416377604684359
0,2,4,Exp2,"('水平', 800)",水平误差,0.9606299582151991
0,2,4,Exp2,"('竖直', 400)",水平误差,0.62288539067976
0,2,4,Exp2,"('竖直', 800)",水平误差,0.8160160659397769
0,2,4,Exp2,"('斜向上', 400)",垂直误差,0.22342829292847743
0,2,4,Exp2,"('斜向上', 800)",垂直误差,0.08137299333153655
0,2,4,Exp2,"('斜向下', 400)",垂直误差,0.12442923011629758
0,2,4,Exp2,"('斜向下', 800)",垂直误差,0.16669623417439
0,2,4,Exp2,"('水平', 400)",垂直误差,0.8722760814397188
0,2,4,Exp2,"('水平', 800)",垂直误差,0.6698621271210601
0,2,4,Exp2,"('竖直', 400)",垂直误差,0.4544559465403653
0,2,4,Exp2,"('竖直', 800)",垂直误差,0.624320673898009
0,2,4,Exp3,gravity,xIfNoGravityPredictError,0.19063869909191225
0,2,4,Exp3,horizontalMove,xIfNoGravityPredictError,0.050942967358233976
0,2,4,Exp3,noGravity,xIfNoGravityPredictError,0.42819527326187745
0,2,4,Exp3,gravity,yIfNoGravityPredictError,0.028054913468726926
0,2,4,Exp3,horizontalMove,yIfNoGravityPredictError,0.8166229161938573
0,2,4,Exp3,noGravity,yIfNoGravityPredictError,0.49646847496435603
0,2,4,Exp3,gravity,xIfGravityPredictError,0.3843701183380287
0,2,4,Exp3,horizontalMove,xIfGravityPredictError,0.050942967358233976
0,2,4,Exp3,noGravity,xIfGravityPredictError,0.5126696056241536
0,2,4,Exp3,gravity,yIfGravityPredictError,0.08579790972531028
