,ID,trial,system_time,launch_ori,launch_speed,true_pos,straight_pos,click_pos,prediction_error,score,reaction_time,ID_Index
248,2,9,2024-04-20 14:31:48,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[307, -296]",32.96048952130926,94,3423,2 2024-04-20 14_31_11
249,2,10,2024-04-20 14:31:53,90,534.4444444444445,"[94.00000000000001, 167.47916666666666]","[94.00000000000001, 167.47916666666666]","[93, 160]",7.545722896302094,98,2269,2 2024-04-20 14_31_11
250,2,11,2024-04-20 14:31:57,270,534.4444444444445,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[103, -287]",11.089616796555449,98,1333,2 2024-04-20 14_31_11
251,2,12,2024-04-20 14:32:01,225,534.4444444444445,"[-114.82905249449112, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-142, -272]",34.63545855105085,94,1842,2 2024-04-20 14_31_11
252,2,13,2024-04-20 14:32:06,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[95, -293]",1.1088736151809608,99,2599,2 2024-04-20 14_31_11
253,2,14,2024-04-20 14:32:11,0,267.22222222222223,"[324.47916666666663, -96.3274506722065]","[324.47916666666663, -63.0]","[325, -109]",12.68324776334795,97,2151,2 2024-04-20 14_31_11
254,2,15,2024-04-20 14:32:16,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-136, 47]",0.4818970688042093,99,3316,2 2024-04-20 14_31_11
255,2,16,2024-04-20 14:32:20,270,267.22222222222223,"[93.99999999999996, -293.47916666666663]","[93.99999999999996, -293.47916666666663]","[93, -295]",1.8201467050152325,99,1679,2 2024-04-20 14_31_11
256,2,17,2024-04-20 14:32:25,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[325, 92]",44.95179153847759,92,1843,2 2024-04-20 14_31_11
257,2,18,2024-04-20 14:32:28,135,534.4444444444445,"[-136.47916666666666, 137.3721814692579]","[-136.47916666666663, 167.47916666666666]","[-131, 135]",5.970637510701982,99,1766,2 2024-04-20 14_31_11
258,2,19,2024-04-20 14:32:32,0,534.4444444444445,"[324.47916666666663, -71.33186266805163]","[324.47916666666663, -63.0]","[320, -63]",9.459538548314598,98,1478,2 2024-04-20 14_31_11
259,2,20,2024-04-20 14:32:40,90,267.22222222222223,"[94.00000000000004, -293.47916666666663]","[94.00000000000001, 167.47916666666666]","[92, 162]",455.4835576256964,60,4811,2 2024-04-20 14_31_11
260,2,21,2024-04-20 14:32:43,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-92, -293]",5.883495632514229,99,1231,2 2024-04-20 14_31_11
261,2,22,2024-04-20 14:32:48,315,267.22222222222223,"[274.13604909950885, -293.47916666666663]","[324.4791666666665, -293.47916666666663]","[292, -291]",18.035160357930543,97,1877,2 2024-04-20 14_31_11
262,2,23,2024-04-20 14:32:53,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[320, 51]",5.971243681344977,99,2927,2 2024-04-20 14_31_11
263,2,24,2024-04-20 14:32:58,135,267.22222222222223,"[-136.47916666666666, 47.05122587703157]","[-136.47916666666663, 167.47916666666666]","[-139, 32]",15.260865017942766,97,1835,2 2024-04-20 14_31_11
264,2,25,2024-04-20 14:33:02,45,267.22222222222223,"[324.47916666666663, 47.0512258770316]","[324.47916666666663, 167.47916666666666]","[325, 30]",17.059178505152676,97,1604,2 2024-04-20 14_31_11
265,2,26,2024-04-20 14:33:06,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-130, -64]",32.97034527660253,94,1739,2 2024-04-20 14_31_11
266,2,27,2024-04-20 14:33:11,180,267.22222222222223,"[-136.47916666666666, -96.32745067220647]","[-136.47916666666666, -62.99999999999997]","[-134, -67]",29.432051071779124,95,2153,2 2024-04-20 14_31_11
267,2,28,2024-04-20 14:33:15,225,267.22222222222223,"[-86.13604909950897, -293.47916666666663]","[-136.47916666666666, -293.4791666666666]","[-91, -290]",5.980185536990614,99,1664,2 2024-04-20 14_31_11
