,Unnamed: 0,idNum,systemTime,trail,moveCondition,leapDirection,trajetoryIndex,chaseTheta,frogDisappearPos,frogPos,mousePos,predictError,predictScore,reactionTime,ID_Index
384,24,1,2024-04-26 19:19:55,25,1,-1,82,62.76154648381792,"(1.0213503029667363, 0.4966524279163751)","(0.4469706665268196, 0.6646296459159082)","(0.3612478781659682, 0.6471560231315874)",0.1749711283334259,96,436,num_1_2024_04_26_19_16_59
385,25,1,2024-04-26 19:19:59,26,1,1,71,49.62260707691113,"(0.6322956041824984, 0.37781411354940797)","(1.271050329201497, 0.35565002856179384)","(1.184807188821651, 0.2263855456350159)",0.3107872958079535,93,1083,num_1_2024_04_26_19_16_59
386,26,1,2024-04-26 19:20:03,27,1,1,35,79.07788672931632,"(0.3531675749802249, 0.6314473234301993)","(0.6569686649564943, 1.015096374251851)","(0.8503486041448889, 0.5248808416368571)",1.0539583849422318,78,1125,num_1_2024_04_26_19_16_59
387,27,1,2024-04-26 19:20:08,28,1,1,88,52.513389165414736,"(0.6296948389035523, 0.3853580507268006)","(1.2653286455878157, 0.3752642652230156)","(1.2998897125813969, 0.2695414920449206)",0.2224569362389199,95,997,num_1_2024_04_26_19_16_59
388,28,1,2024-04-26 19:20:13,29,1,1,20,81.65398345970263,"(0.18770130642138813, 0.5798034405225541)","(0.2929428741270539, 0.880822278691974)","(0.22818371006876187, 0.3055047807198412)",1.157901503241867,76,1065,num_1_2024_04_26_19_16_59
389,29,1,2024-04-26 19:20:17,30,1,1,82,83.63572295045059,"(0.24614788822253408, 0.6069393096185118)","(0.42152535408957437, 0.9513755383414644)","(0.3252845894910476, 0.20480757243006353)",1.5054912985409057,69,2378,num_1_2024_04_26_19_16_59
390,30,1,2024-04-26 19:20:23,31,1,1,46,60.29288247035702,"(0.561139515371331, 0.5227433584612446)","(1.1145069338169291, 0.7324660653325686)","(1.1092842826043177, 0.4709359086244762)",0.523164597248124,89,660,num_1_2024_04_26_19_16_59
391,31,1,2024-04-26 19:20:28,32,1,-1,71,84.27814032110443,"(1.3812105062388758, 0.5959642160105727)","(1.2386631137255266, 0.9228402949608229)","(0.9294678392297143, 0.4062019890096191)",1.2041874554182506,75,429,num_1_2024_04_26_19_16_59
392,32,1,2024-04-26 19:20:32,33,1,1,6,58.33133759400385,"(0.5986387051868359, 0.4598099185724316)","(1.1970051514110391, 0.5688391216216546)","(1.2207704774965715, 0.3270827539247936)",0.4858433164958907,90,566,num_1_2024_04_26_19_16_59
393,33,1,2024-04-26 19:20:36,34,1,-1,28,48.30321940107718,"(0.9403184775219449, 0.2796451496010557)","(0.2687006505482797, 0.10041072229607839)","(0.3037066162860952, 0.19401858582758735)",0.199878460592138,96,1150,num_1_2024_04_26_19_16_59
394,34,1,2024-04-26 19:20:41,35,1,-1,88,52.583072571105056,"(0.9570359410256926, 0.34434992746509296)","(0.3054790702565241, 0.2686431447425752)","(0.3252845894910476, 0.24796351883996826)",0.0572679847601032,98,437,num_1_2024_04_26_19_16_59
395,35,1,2024-04-26 19:20:45,36,1,-1,89,78.57756766327398,"(1.249196229955612, 0.6319452991810628)","(0.9482317059023476, 1.0163911112040964)","(0.7388624092526349, 0.44935793541952385)",1.208903842032001,75,767,num_1_2024_04_26_19_16_59
396,36,1,2024-04-26 19:20:49,37,1,-1,92,83.42049854688531,"(1.3574533837305625, 0.6061830017758605)","(1.186397444207237, 0.9494091379505702)","(1.0121834031820318, 0.5033028684319047)",0.9578336719789968,80,742,num_1_2024_04_26_19_16_59
397,37,1,2024-04-26 19:20:53,38,1,-1,15,60.1856855395064,"(1.001951206203918, 0.46137621740447465)","(0.40429265364862027, 0.5729114985849681)","(0.515890019468127, 0.33787174052726976)",0.5203754795363602,89,426,num_1_2024_04_26_19_16_59
398,38,1,2024-04-26 19:20:57,39,1,1,53,59.66255772981946,"(0.5700462051140117, 0.5098255699242731)","(1.1341016512508264, 0.6988798151364431)","(1.0301650475194921, 0.5644404591792698)",0.3398632550034439,93,1141,num_1_2024_04_26_19_16_59
399,39,1,2024-04-26 19:21:02,40,1,1,66,62.97416988774135,"(0.5834058813518925, 0.48822140112159684)","(1.163492938974164, 0.6427089762494858)","(1.2351557929665398, 0.5896147612517142)",0.1783766835498649,96,599,num_1_2024_04_26_19_16_59
400,40,1,2024-04-26 19:21:08,41,2,1,18,59.80486879481531,"(0.3246737136376595, 0.5563467645275406)","(0.5942821700028507, 1.22396288196059)","(1.0049907454470477, 0.5572478014442857)",1.5661296658083763,68,675,num_1_2024_04_26_19_16_59
401,41,1,2024-04-26 19:21:12,42,2,-1,20,27.19615506185835,"(0.9808282869044547, 0.30076690695858943)","(0.35782223118980044, 0.6616871953088966)","(0.22818371006876187, 0.22278921676752383)",0.915287018866002,81,641,num_1_2024_04_26_19_16_59
402,42,1,2024-04-26 19:21:17,43,2,1,35,45.41816211510937,"(0.5420866786435756, 0.4056591778400829)","(1.0725906930158666, 0.8924501912481826)","(0.9330641680972064, 0.3091011095873333)",1.1996062724584826,76,1073,num_1_2024_04_26_19_16_59
403,43,1,2024-04-26 19:21:21,44,2,1,20,56.5632958340688,"(0.35483703264231564, 0.5431924951562375)","(0.6606414718130953, 1.1950234893437233)","(0.8575412618798731, 0.629174378794127)",1.198256639018721,76,1002,num_1_2024_04_26_19_16_59
404,44,1,2024-04-26 19:21:26,45,2,1,92,40.385010052101656,"(0.546978981279499, 0.4002621519633618)","(1.083353758814898, 0.8805767343193958)","(1.191999846556635, 0.4889175529619365)",0.8128982389528971,83,359,num_1_2024_04_26_19_16_59
405,45,1,2024-04-26 19:21:30,46,2,-1,53,30.96615611803108,"(1.0026517757153772, 0.335625898584917)","(0.4058339065738302, 0.7383769768868179)","(0.5230826772031111, 0.33787174052726976)",0.8346297827551932,83,363,num_1_2024_04_26_19_16_59
406,46,1,2024-04-26 19:21:34,47,2,1,15,20.88097921932098,"(0.6643174797744111, 0.20382782445254422)","(1.341498455503705, 0.4484212137955972)","(1.3933942631361906, 0.22998187450250795)",0.4490386166049833,91,690,num_1_2024_04_26_19_16_59
407,47,1,2024-04-26 19:21:38,48,2,-1,88,49.93798405302152,"(1.1675236141911876, 0.49945916037200666)","(0.768551951220613, 1.0988101528184155)","(0.7604403824575874, 0.399009331274635)",1.3996956631798891,72,1340,num_1_2024_04_26_19_16_59
408,48,1,2024-04-26 19:21:43,49,2,-1,88,49.93798405302152,"(1.1675236141911876, 0.49945916037200666)","(0.768551951220613, 1.0988101528184155)","(0.6669358319027937, 0.399009331274635)",1.4142800649638865,71,1049,num_1_2024_04_26_19_16_59
409,49,1,2024-04-26 19:21:48,50,2,1,66,28.43058466342323,"(0.6132359823000134, 0.31078742972092743)","(1.2291191610600292, 0.6837323453860396)","(1.2243668063640636, 0.2551561765749524)",0.8572050334615302,82,365,num_1_2024_04_26_19_16_59
410,50,1,2024-04-26 19:21:51,51,2,-1,92,23.07905519058093,"(0.962229449505065, 0.26608802118918207)","(0.3169047889111423, 0.5853936466162009)","(0.3540552204309841, 0.5608441303117777)",0.0890580330546681,98,2424,num_1_2024_04_26_19_16_59
411,51,1,2024-04-26 19:21:57,52,2,-1,46,53.77782529684055,"(1.103960637820754, 0.4507247758939552)","(0.6287134032056594, 0.9915945069667016)","(0.6201835566253968, 0.8125871510362223)",0.3584209355487155,92,419,num_1_2024_04_26_19_16_59
412,52,1,2024-04-26 19:22:01,53,2,-1,33,70.31871354728779,"(1.3420642427999905, 0.5788404759496868)","(1.1525413341599784, 1.2734490470893103)","(0.796403671132508, 0.6795229829390159)",1.3850374792094655,72,472,num_1_2024_04_26_19_16_59
413,53,1,2024-04-26 19:22:06,54,2,-1,35,51.06991003108513,"(1.1708979671921418, 0.501688999283157)","(0.7759755278227113, 1.1037157984229446)","(0.6993027917102222, 0.7694312046263175)",0.6859297285079613,86,432,num_1_2024_04_26_19_16_59
414,54,1,2024-04-26 19:22:10,55,2,1,61,51.93755724712076,"(0.5191556250278087, 0.4293117305729568)","(1.02214237506118, 0.9444858072605049)","(1.1128806114718097, 0.7046972850114603)",0.5127649088979934,89,361,num_1_2024_04_26_19_16_59
415,55,1,2024-04-26 19:22:14,56,2,-1,89,79.6164092816418,"(1.4088134553066034, 0.5930303652148678)","(1.2993896016745277, 1.304666803472709)","(1.0121834031820318, 0.9708256212058731)",0.8807663377532763,82,225,num_1_2024_04_26_19_16_59
416,56,1,2024-04-26 19:22:17,57,2,1,82,39.5196232945966,"(0.53544037511031, 0.4127852707204953)","(1.0579688252426822, 0.9081275955850898)","(1.245944779569016, 0.7011009561439683)",0.5592673380170884,88,264,num_1_2024_04_26_19_16_59
417,57,1,2024-04-26 19:22:21,58,2,-1,14,62.8192909702656,"(1.2893755467060195, 0.561816108415033)","(1.0366262027532427, 1.2359954385130725)","(0.7028991205777143, 0.8089908221687302)",1.083894289599813,78,362,num_1_2024_04_26_19_16_59
418,58,1,2024-04-26 19:22:25,59,2,-1,63,75.31119823920105,"(1.4048166046500539, 0.5924019929487545)","(1.290596530230118, 1.303284384487259)","(0.9510458124346667, 0.8413577819761587)",1.146596487109313,77,301,num_1_2024_04_26_19_16_59
419,59,1,2024-04-26 19:22:29,60,2,1,89,42.69382886270495,"(0.51654861397723, 0.43184169807193085)","(1.0164069507499063, 0.9500517357582478)","(1.2171741486290795, 0.6255780499266349)",0.7631268322930528,84,619,num_1_2024_04_26_19_16_59
420,60,1,2024-04-26 19:22:33,61,2,-1,28,50.50655014352222,"(1.0719204500315336, 0.420413961350947)","(0.5582249900693736, 0.9249107149720829)","(0.5590459658780318, 0.7622385468913334)",0.3253484794454709,93,186,num_1_2024_04_26_19_16_59
421,61,1,2024-04-26 19:22:37,62,2,1,88,31.64228908958857,"(0.6259765909985434, 0.288701620573129)","(1.2571485001967948, 0.6351435652608832)","(1.4005869208711748, 0.5068991972993968)",0.3848178708916804,92,749,num_1_2024_04_26_19_16_59
422,62,1,2024-04-26 19:22:41,63,2,-1,82,35.61320313803293,"(1.0007664420669222, 0.3328150456837551)","(0.40168617254722877, 0.7321931005042611)","(0.3180919317560635, 0.5500551437093015)",0.4008103411784375,91,99,num_1_2024_04_26_19_16_59
423,63,1,2024-04-26 19:22:45,64,2,1,95,24.74475620798357,"(0.6373017111459601, 0.2670334645688126)","(1.2820637645211128, 0.5874736220513872)","(1.1991925042916192, 0.6435596942640952)",0.2001328885343291,95,438,num_1_2024_04_26_19_16_59
